127.0.0.1 - - [20/Jul/2021:15:11:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/auth-normal-sign-in.jsp HTTP/1.1" 200 10677
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/icon/icofont/css/icofont.css HTTP/1.1" 200 108620
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 200 16516
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/css/style.css HTTP/1.1" 200 263126
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/css/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 142181
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/icon/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/pages/waves/css/waves.min.css HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [20/Jul/2021:15:11:21 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 200 13832
