127.0.0.1 - - [06/Jul/2021:11:35:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:35:34 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/auth-normal-sign-in.jsp HTTP/1.1" 200 10677
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:35:34 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/css/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:35:34 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/css/style.css HTTP/1.1" 200 263126
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:35:34 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/images/favicon.ico HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:35:48 +0900] "POST /MoneyDiary/MoneyDiary/material_able-main/login_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:35:48 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/index.jsp HTTP/1.1" 200 39309
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:35:53 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/bs-basic-table2.jsp?userId=M006 HTTP/1.1" 200 150356
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:35:56 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/modify.jsp HTTP/1.1" 200 33106
